code_insee;nom_officiel;x;y;lon;lat;dist_km
42293;Saint-Victor-sur-Rhins;748000;2113000;4.2473847;46.00104265;0.0
42294;Saint-Vincent-de-Boisset;740000;2113000;4.14413412;46.00274427;0.7476967019314891
42295;Les Salles;708000;2097000;3.72741538;45.86467836;0.0
42296;Salt-en-Donzy;748000;2081000;4.23739954;45.71322824;2.218156986353196
42297;Salvizinet;748000;2089000;4.23988577;45.78518131;1.9198590133000752
42298;Sauvain;716000;2073000;3.8245702;45.64747712;0.0
42299;Savigneux;740000;2073000;4.13234038;45.64296693;0.0
42300;Sevelinges;748000;2121000;4.2498977;46.07299663;2.206768129491369
42301;Soleymieux;732000;2057000;4.02534958;45.50065416;1.1604461521806517
42302;Sorbiers;764000;2057000;4.4345844;45.49372237;0.0
42303;Souternon;732000;2097000;4.03640957;45.8604359;0.8115959860920151
42304;Sury-le-Comtal;748000;2065000;4.23244708;45.56932516;1.7575377908689955
42305;La Talaudière;764000;2057000;4.4345844;45.49372237;0.6634889039220107
42306;Tarentaise;772000;2041000;4.53116442;45.34787239;0.3822067179257603
42307;Tartaras;780000;2065000;4.64215911;45.56163601;0.5143169830123209
42308;La Terrasse-sur-Dorlay;772000;2049000;4.53401642;45.41981295;1.7618372859046867
42310;Thélis-la-Combe;772000;2041000;4.53116442;45.34787239;0.0
42311;La Tour-en-Jarez;764000;2057000;4.4345844;45.49372237;1.9285396263786951
42312;La Tourette;740000;2049000;4.12534072;45.42711011;1.7687427599029004
42313;Trelins;732000;2081000;4.03196745;45.71652092;0.18616648523075058
42314;La Tuilière;716000;2105000;3.83237837;45.93532016;0.6128561454577768
42315;Unias;748000;2073000;4.23492016;45.6412762;2.3861399890555357
42316;Unieux;748000;2049000;4.22751977;45.42542627;1.6730624699970658
42317;Urbise;716000;2137000;3.84026909;46.22316841;2.950876102368988
42318;Usson-en-Forez;724000;2041000;3.91890764;45.35824395;0.0
42319;Valeille;748000;2081000;4.23739954;45.71322824;0.0
42320;Valfleury;772000;2065000;4.53974224;45.56369908;1.5727119211287144
